Date,DAX,SPX,DAX_Return,SPX_Return
2007-01-04,6674.39990234375,1418.3399658203125,-0.25318398499306344,0.12275324972152997
2007-01-05,6593.08984375,1409.7099609375,-1.225719079352494,-0.6103167832470129
2007-01-08,6607.58984375,1412.8399658203125,0.21968574611151326,0.22178570774974288
2007-01-09,6614.3701171875,1412.1099853515625,0.10256080114994122,-0.05168094993646467
2007-01-10,6566.56005859375,1414.8499755859375,-0.7254460441220031,0.1938471807337008
2007-01-11,6687.2998046875,1423.8199462890625,1.8220063814245704,0.6319861629223327
2007-01-12,6705.169921875,1430.72998046875,0.2668682947667807,0.4841427093058067
2007-01-16,6716.81982421875,1431.9000244140625,0.1735943103774175,0.08174608723255757
2007-01-17,6701.7001953125,1430.6199951171875,-0.22535473782450818,-0.08943374184001605
2007-01-18,6689.6201171875,1426.3699951171875,-0.18041658506905794,-0.2975161375757787
2007-01-19,6747.169921875,1430.5,0.8566057283629598,0.28912815542454734
2007-01-22,6687.31005859375,1422.949951171875,-0.8911436767017311,-0.5291886366783456
2007-01-23,6678.93017578125,1427.989990234375,-0.1253887969015733,0.3535707111787036
2007-01-24,6748.3701171875,1440.1300048828125,1.0343190210432796,0.8465536428398069
2007-01-25,6719.580078125,1423.9000244140625,-0.42753473985913026,-1.133378773070705
2007-01-26,6690.33984375,1422.1800537109375,-0.436099259158288,-0.12086595354295969
2007-01-29,6726.009765625,1420.6199951171875,0.531739362193156,-0.10975508115664014
2007-01-30,6788.22998046875,1428.8199462890625,0.9208162005571076,0.5755498607645567
2007-01-31,6789.10986328125,1438.239990234375,0.012961048686368942,0.6571245841597129
2007-02-01,6851.27978515625,1445.93994140625,0.9115627042303792,0.5339451523831852
2007-02-02,6885.759765625,1448.3900146484375,0.5020012172304996,0.16930162521957198
2007-02-05,6874.06005859375,1446.989990234375,-0.17005614899401514,-0.09670748024880951
2007-02-06,6875.7001953125,1448.0,0.023856950175733024,0.06977639370160676
2007-02-07,6915.56005859375,1450.02001953125,0.5780468722441123,0.13940689469243953
2007-02-08,6876.72998046875,1448.31005859375,-0.5630708259015755,-0.11799630061502266
2007-02-09,6911.10986328125,1438.06005859375,0.4986996433780597,-0.7102376113371196
2007-02-12,6859.4501953125,1433.3699951171875,-0.7502949784746861,-0.32667120978962083
2007-02-13,6895.33984375,1444.260009765625,0.5218506394286496,0.7568774732917578
2007-02-14,6961.18017578125,1455.300048828125,0.9503226993260225,0.7615012063124971
2007-02-15,6958.6201171875,1456.81005859375,-0.036782979191264095,0.1037055499453231
2007-02-16,6957.06982421875,1455.5400390625,-0.02228122330536738,-0.08721613605295131
2007-02-20,6982.91015625,1459.6800537109375,0.3707374280965291,0.2840277783407165
2007-02-21,6941.66015625,1457.6300048828125,-0.5924796204330169,-0.14054379715543586
2007-02-22,6973.72998046875,1456.3800048828125,0.4609267966120011,-0.08579243533695571
2007-02-23,6992.580078125,1451.18994140625,0.26993685552224495,-0.35700389567874835
2007-02-26,7027.58984375,1449.3699951171875,0.4994210282507424,-0.12548932397342685
2007-02-27,6819.64990234375,1399.0400390625,-3.0035671742511303,-3.5342660843100724
2007-02-28,6715.43994140625,1406.8199462890625,-1.5398792523083804,0.5545484952734019
2007-03-01,6640.240234375,1403.1700439453125,-1.1261201337842017,-0.25978059773005213
2007-03-02,6603.31982421875,1387.1700439453125,-0.5575616471671748,-1.1468261829749615
2007-03-05,6534.56982421875,1374.1199951171875,-1.0466007767782635,-0.9452209514841423
2007-03-06,6595.0,1395.4100341796875,0.9205267699112815,1.5374780717887004
2007-03-07,6617.75,1391.969970703125,0.34436468535499987,-0.24683144867990262
2007-03-08,6713.22998046875,1401.8900146484375,1.4324770317429287,0.7101347730782964
2007-03-09,6716.52001953125,1402.8399658203125,0.04899628255654085,0.06773922729208479
2007-03-12,6715.490234375,1406.5999755859375,-0.015333299168204763,0.26766986224967043
2007-03-13,6623.990234375,1377.949951171875,-1.37188903714051,-2.057857550740609
2007-03-14,6447.7001953125,1387.1700439453125,-2.697443444356022,0.666888016495876
2007-03-15,6585.47021484375,1392.280029296875,2.114223124855863,0.3676979959512594
2007-03-16,6579.8701171875,1386.949951171875,-0.08507334945804551,-0.3835655701215665
2007-03-19,6671.41015625,1402.06005859375,1.3816249197436081,1.0835569042727349
2007-03-20,6700.2900390625,1410.93994140625,0.4319559561684665,0.6313481911504475
2007-03-21,6712.06005859375,1435.0400390625,0.17551021956480603,1.6936643202980273
2007-03-22,6856.9599609375,1434.5400390625,2.135827206566036,-0.0348483047308206
2007-03-23,6899.06005859375,1436.1099853515625,0.6120989798171953,0.10937916027600407
2007-03-26,6828.81982421875,1437.5,-1.0233313219629603,0.0967434525865559
2007-03-27,6858.33984375,1428.6099853515625,0.4313541453408202,-0.6203560368758968
2007-03-28,6816.89013671875,1417.22998046875,-0.606203098945318,-0.7997684815493823
2007-03-29,6897.080078125,1422.530029296875,1.1694768779109819,0.37327485166896573
2007-03-30,6917.02978515625,1420.8599853515625,0.2888310734115461,-0.11746852375143864
2007-04-02,6937.169921875,1424.550048828125,0.29074434225105655,0.2593696866817386
2007-04-03,7045.56005859375,1437.77001953125,1.5503740395442749,0.9237307072510437
2007-04-04,7073.91015625,1439.3699951171875,0.4015750636994761,0.11121987409165861
2007-04-05,7099.91015625,1443.760009765625,0.3668739773657563,0.304531397039247
2007-04-10,7166.669921875,1448.3900146484375,0.9358970762609654,0.3201776394068679
2007-04-11,7152.830078125,1438.8699951171875,-0.19330071663676135,-0.6594524912466886
