Model,Breaches,Kupiec_p,Christ_p,ES_t,ES_p,ES_flag
Gaussian,35/1341,8.127711507155411e-07,0.012628500472150472,4.108381028954757,0.0002370897867824818,Reject
StudentT,13/1341,0.9099507080803069,0.00498824461687164,,,Insufficient
Gumbel,22/1341,0.030917493173897026,0.05048878964175596,2.1905749313079688,0.03990583223813698,Reject
Clayton,20/1341,0.09182817603496041,0.03368915008693196,2.1229783369412103,0.04711589338296827,Reject
