Date,Clayton_VaR_99,Clayton_ES_99,Clayton_Weight_SPX,Clayton_Weight_DAX,Clayton_Vol_SPX,Clayton_Vol_DAX,Clayton_Rho,Clayton_Nu_SPX,Clayton_Nu_DAX,Gumbel_VaR_99,Gumbel_ES_99,Gumbel_Weight_SPX,Gumbel_Weight_DAX,Gumbel_Vol_SPX,Gumbel_Vol_DAX,Gumbel_Rho,Gumbel_Nu_SPX,Gumbel_Nu_DAX
2020-01-02,-1.303721330470844,-1.6031637933099678,0.63,0.37,0.4716774789219786,0.7669410127163264,0.7196113329163154,5.260939052504333,6.282917971415898,-1.2792705693543933,-1.5825447631226972,0.63,0.37,0.4716774789219786,0.7669410127163264,0.7196113329163154,5.260939052504333,6.282917971415898
2020-01-03,-1.3608071003599227,-1.6888466236099795,0.63,0.37,0.44297597183167964,0.7961050072993222,0.7196113329163154,5.262690529916057,6.297785355102837,-1.3142597956806292,-1.654854498546413,0.63,0.37,0.44297597183167964,0.7961050072993222,0.7196113329163154,5.262690529916057,6.297785355102837
2020-01-06,-1.5565797031827409,-1.9261289271320134,0.63,0.37,0.557359740918242,0.8694063182593387,0.7196113329163154,5.278274225947132,6.31754396144663,-1.4720634261306504,-1.8223616596116061,0.63,0.37,0.557359740918242,0.8694063182593387,0.7196113329163154,5.278274225947132,6.31754396144663
2020-01-07,-1.5370897246074617,-1.8738874410193105,0.63,0.37,0.5254149957311371,0.8703678093754291,0.7196113329163154,5.274403481251544,6.327322532801338,-1.4892657578661057,-1.867188377110852,0.63,0.37,0.5254149957311371,0.8703678093754291,0.7196113329163154,5.274403481251544,6.327322532801338
2020-01-08,-1.52875909350796,-1.8849096653903434,0.63,0.37,0.5544793305238873,0.8636357285752998,0.7196113329163154,5.2758568667920756,6.331501337468853,-1.4813620712066484,-1.82971854643549,0.63,0.37,0.5544793305238873,0.8636357285752998,0.7196113329163154,5.2758568667920756,6.331501337468853
2020-01-09,-1.5115091003800478,-1.9192996106274272,0.63,0.37,0.5222418405761452,0.8536292087809279,0.7196113329163154,5.277835884775321,6.33423016800317,-1.4471724431444257,-1.7818894094416677,0.63,0.37,0.5222418405761452,0.8536292087809279,0.7196113329163154,5.277835884775321,6.33423016800317
2020-01-10,-1.5298579667512961,-1.8655573331875164,0.63,0.37,0.49188525741796485,0.9031714637415542,0.7196113329163154,5.287870984225989,6.3503924746163944,-1.4919100109622867,-1.8583691774089006,0.63,0.37,0.49188525741796485,0.9031714637415542,0.7196113329163154,5.287870984225989,6.3503924746163944
2020-01-13,-1.5140555994613827,-1.8626526609776604,0.63,0.37,0.5206792297178487,0.8706933546898551,0.7196113329163154,5.289578299318751,6.341569202842702,-1.4591241672302546,-1.788031035823581,0.63,0.37,0.5206792297178487,0.8706933546898551,0.7196113329163154,5.289578299318751,6.341569202842702
2020-01-14,-1.4524128575913189,-1.8085889424386246,0.63,0.37,0.490466822812324,0.8444095065674718,0.7196113329163154,5.2988114182444574,6.335549698514493,-1.415321657176321,-1.7487350607930552,0.63,0.37,0.490466822812324,0.8444095065674718,0.7196113329163154,5.2988114182444574,6.335549698514493
2020-01-15,-1.4090857801115209,-1.7295510369878835,0.63,0.37,0.49434911900840833,0.8144608885636846,0.7196113329163154,5.2943034725684335,6.325731810764818,-1.3833897551184435,-1.7229520998881198,0.63,0.37,0.49434911900840833,0.8144608885636846,0.7196113329163154,5.2943034725684335,6.325731810764818
2020-01-16,-1.3557833646709798,-1.6932524578756036,0.63,0.37,0.4678350612352277,0.7902962595919447,0.7196113329163154,5.2872256685166175,6.319081965593182,-1.3266378509704688,-1.6712124971730844,0.63,0.37,0.4678350612352277,0.7902962595919447,0.7196113329163154,5.2872256685166175,6.319081965593182
2020-01-17,-1.3235713868056767,-1.6376658246966327,0.63,0.37,0.44115568837327457,0.7643197787604602,0.7196113329163154,5.298447607289812,6.3089074734962916,-1.244219683413072,-1.5196957797205002,0.63,0.37,0.44115568837327457,0.7643197787604602,0.7196113329163154,5.298447607289812,6.3089074734962916
2020-01-21,-1.2845542163123878,-1.586170119238442,0.63,0.37,0.41773872687120067,0.7644258123253139,0.7196113329163154,5.302583956872719,6.314627143483417,-1.2241410209571788,-1.522130036462293,0.63,0.37,0.41773872687120067,0.7644258123253139,0.7196113329163154,5.302583956872719,6.314627143483417
2020-01-22,-1.2896461012821143,-1.58459234246833,0.63,0.37,0.452566189176767,0.740624062482612,0.7196113329163154,5.307371385114379,6.304251941219105,-1.2500328673954715,-1.5749723272903589,0.63,0.37,0.452566189176767,0.740624062482612,0.7196113329163154,5.307371385114379,6.304251941219105
2020-01-23,-1.2693715016482752,-1.5675898062908817,0.63,0.37,0.43932397307667426,0.7263092281267174,0.7196113329163154,5.299991365278621,6.302065561224359,-1.205445820051477,-1.5195404232000282,0.63,0.37,0.43932397307667426,0.7263092281267174,0.7196113329163154,5.299991365278621,6.302065561224359
2020-01-24,-1.2762929012432436,-1.5937754130661457,0.63,0.37,0.4170920302987621,0.7702524592267959,0.7196113329163154,5.292305376843203,6.322851695967093,-1.2289695888920924,-1.5388880391121893,0.63,0.37,0.4170920302987621,0.7702524592267959,0.7196113329163154,5.292305376843203,6.322851695967093
2020-01-27,-1.5601040668200392,-1.9673956302348603,0.63,0.37,0.5983933974275375,0.8455553683481868,0.7196113329163154,5.295784748315458,6.338799263450808,-1.5157229420208937,-1.8961812434083154,0.63,0.37,0.5983933974275375,0.8455553683481868,0.7196113329163154,5.295784748315458,6.338799263450808
