Model,VaR Breaches,Kupiec p-val,Christoffersen p-val,Basel Zone,ES Z-stat,ES p-val,ES Result,Tail Ratio,Max Deviation
Gaussian,12 (Exp: 13.4),0.6935774268744882,0.09343305091232412,Green Zone,1.621527382930842,0.10490458220897869,Pass,1.344027966428608,-11.75998719207869
StudentT,11 (Exp: 13.4),0.4948086287527045,0.07608508599464969,Green Zone,1.7265758799581181,0.08424386084571545,Pass,1.362087292360515,-11.75998719207869
Gumbel,582 (Exp: 13.4),0.0,,Red Zone,16.504249293687597,0.0,Reject,6.387171125190404,-11.75998719207869
Clayton,16 (Exp: 13.4),0.490297682077828,0.18247831672184922,Green Zone,1.615437266142694,0.10621603548227898,Pass,1.3145607365576155,-11.75998719207869
