Date,Gaussian_VaR_99,Gaussian_ES_99,Gaussian_Weight_SPX,Gaussian_Weight_DAX,Gaussian_Vol_SPX,Gaussian_Vol_DAX,Gaussian_Rho,Gaussian_Nu_SPX,Gaussian_Nu_DAX,StudentT_VaR_99,StudentT_ES_99,StudentT_Weight_SPX,StudentT_Weight_DAX,StudentT_Vol_SPX,StudentT_Vol_DAX,StudentT_Rho,StudentT_Nu_SPX,StudentT_Nu_DAX
2021-05-18,-2.2419868453856484,-2.563396670015056,0.47986858978690394,0.5201314102130961,1.1267703918199492,1.1141189519765264,0.7196113329163154,5.213122853764773,5.595207495031394,-3.2675809992058586,-4.281545779504042,0.47986858978690394,0.5201314102130961,1.1267703918199492,1.1141189519765264,0.7196113329163154,5.213122853764773,5.595207495031394
2021-05-19,-2.2595455582494828,-2.618400665034563,0.3,0.7,1.212742219295214,1.0684036282073306,0.7196113329163154,5.218220133865899,5.5890215953054945,-3.2831087181838825,-4.231701563727969,0.3,0.7,1.212742219295214,1.0684036282073306,0.7196113329163154,5.218220133865899,5.5890215953054945
2021-05-20,-2.407550182407567,-2.761151060908889,0.46884434455349494,0.5311556554465051,1.195641237702428,1.1749230157644852,0.7196113329163154,5.215982031478862,5.599229788240125,-3.4771099538089936,-4.593239739249302,0.46884434455349494,0.5311556554465051,1.195641237702428,1.1749230157644852,0.7196113329163154,5.215982031478862,5.599229788240125
2021-05-21,-2.376800888279196,-2.7076216314147863,0.6731757613635699,0.32682423863643006,1.1122804195547369,1.2275884880634667,0.7196113329163154,5.2192535033823235,5.609598503263056,-3.4935456925441146,-4.569636624146937,0.6731757613635699,0.32682423863643006,1.1122804195547369,1.2275884880634667,0.7196113329163154,5.2192535033823235,5.609598503263056
2021-05-25,-2.20838369249855,-2.5299588904258488,0.7,0.30000000000000004,1.0446378359557318,1.1786471537425318,0.7196113329163154,5.2146244335915,5.6046880824052545,-3.288678157812904,-4.293965618329352,0.7,0.30000000000000004,1.0446378359557318,1.1786471537425318,0.7196113329163154,5.2146244335915,5.6046880824052545
2021-05-26,-2.112377434198299,-2.433519116372524,0.7,0.30000000000000004,0.9741436066991447,1.128291025224568,0.7196113329163154,5.216011574250971,5.598631185007953,-3.0647435556147262,-3.9795376582493307,0.7,0.30000000000000004,0.9741436066991447,1.128291025224568,0.7196113329163154,5.216011574250971,5.598631185007953
2021-05-27,-1.9813209527544942,-2.2681460748271265,0.7,0.30000000000000004,0.9077384558329313,1.082179776341841,0.7196113329163154,5.211205586135877,5.592667169452322,-2.8955066971977272,-3.7135139983014076,0.7,0.30000000000000004,0.9077384558329313,1.082179776341841,0.7196113329163154,5.211205586135877,5.592667169452322
2021-05-28,-1.8404987727314597,-2.1309950885982407,0.7,0.30000000000000004,0.8467294897096754,1.0437500152999792,0.7196113329163154,5.206640173868632,5.589044542288226,-2.722166129047894,-3.5005810320728834,0.7,0.30000000000000004,0.8467294897096754,1.0437500152999792,0.7196113329163154,5.206640173868632,5.589044542288226
2021-06-01,-1.739986349625777,-2.0025997976728407,0.7,0.30000000000000004,0.7907975807241324,1.0210812389581765,0.7196113329163154,5.201837710778029,5.589688761899424,-2.5774919468311857,-3.410491830439552,0.7,0.30000000000000004,0.7907975807241324,1.0210812389581765,0.7196113329163154,5.201837710778029,5.589688761899424
2021-06-02,-1.6797454009088573,-1.9194542064657822,0.7,0.30000000000000004,0.7590288005051118,0.9826686722140489,0.7196113329163154,5.197838266480068,5.583691468436691,-2.4355018095280148,-3.242046468977317,0.7,0.30000000000000004,0.7590288005051118,0.9826686722140489,0.7196113329163154,5.197838266480068,5.583691468436691
2021-06-03,-1.5594851565743522,-1.8046512802125667,0.7,0.30000000000000004,0.710518348416756,0.9452675631938721,0.7196113329163154,5.193274023037642,5.577184719365264,-2.33018179490188,-3.0431715205907386,0.7,0.30000000000000004,0.710518348416756,0.9452675631938721,0.7196113329163154,5.193274023037642,5.577184719365264
2021-06-04,-1.5697682525905188,-1.8181020909896293,0.7,0.30000000000000004,0.7403587120233884,0.9097303271816907,0.7196113329163154,5.194615126953931,5.570438534107264,-2.3247982503651428,-3.0897987211758897,0.7,0.30000000000000004,0.7403587120233884,0.9097303271816907,0.7196113329163154,5.194615126953931,5.570438534107264
2021-06-07,-1.5550941193699148,-1.7865726886009956,0.7,0.30000000000000004,0.6971723249999032,0.8806154076487023,0.7196113329163154,5.200800447632776,5.565684337178524,-2.231794107332768,-2.8552273148029914,0.7,0.30000000000000004,0.6971723249999032,0.8806154076487023,0.7196113329163154,5.200800447632776,5.565684337178524
2021-06-08,-1.4503362189587843,-1.6790710206646136,0.7,0.30000000000000004,0.6683839477644888,0.85036413545671,0.7196113329163154,5.196414783935023,5.560120208836937,-2.1374365142740257,-2.822192803909343,0.7,0.30000000000000004,0.6683839477644888,0.85036413545671,0.7196113329163154,5.196414783935023,5.560120208836937
2021-06-09,-1.378512268927191,-1.5932692610315253,0.7,0.30000000000000004,0.6372743937763461,0.8259908148736067,0.7196113329163154,5.1920977089863785,5.556633499564225,-2.0425977539667395,-2.677151094171336,0.7,0.30000000000000004,0.6372743937763461,0.8259908148736067,0.7196113329163154,5.1920977089863785,5.556633499564225
