Date,Gaussian_VaR_99,Gaussian_ES_99,Gaussian_Weight_SPX,Gaussian_Weight_DAX,Gaussian_Vol_SPX,Gaussian_Vol_DAX,Gaussian_Rho,StudentT_VaR_99,StudentT_ES_99,StudentT_Weight_SPX,StudentT_Weight_DAX,StudentT_Vol_SPX,StudentT_Vol_DAX,StudentT_Rho,Clayton_VaR_99,Clayton_ES_99,Clayton_Weight_SPX,Clayton_Weight_DAX,Clayton_Vol_SPX,Clayton_Vol_DAX,Clayton_Rho,Gumbel_VaR_99,Gumbel_ES_99,Gumbel_Weight_SPX,Gumbel_Weight_DAX,Gumbel_Vol_SPX,Gumbel_Vol_DAX,Gumbel_Rho
2020-01-02,-1.7261329393286429,-2.2543575110045433,0.7,0.30000000000000004,0.5625849094209913,0.7669410127163264,0.5989525108132302,-1.8267795769544368,-2.4347013000043427,0.7,0.30000000000000004,0.5625849094209913,0.7669410127163264,0.613753666775487,-1.5319042861111813,-2.0072086504210525,0.7,0.30000000000000004,0.5625849094209913,0.7669410127163264,0.6093824496352462,-0.783459444939068,-1.0033491264628744,0.7,0.30000000000000004,0.5625849094209913,0.7669410127163264,0.6093824496352462
2020-01-03,-2.0064063491828095,-2.6481255381555546,0.7,0.30000000000000004,0.6653709695959459,0.7961050072993222,0.5989525108132302,-2.0570858624676913,-2.800712017870377,0.7,0.30000000000000004,0.6653709695959459,0.7961050072993222,0.613753666775487,-1.7480282922227617,-2.242248787777755,0.7,0.30000000000000004,0.6653709695959459,0.7961050072993222,0.6096030331981743,-0.8962208893081747,-1.1758975766590503,0.7,0.30000000000000004,0.6653709695959459,0.7961050072993222,0.6096030331981743
2020-01-06,-2.189740243938972,-2.8927020958040863,0.7,0.30000000000000004,0.6978420862999744,0.8694063182593387,0.5989525108132302,-2.1980611487318167,-3.0508825836879834,0.7,0.30000000000000004,0.6978420862999744,0.8694063182593387,0.613753666775487,-1.8813282991661002,-2.410248471169287,0.7,0.30000000000000004,0.6978420862999744,0.8694063182593387,0.6098306869419432,-0.9319228693079649,-1.2271776438099258,0.7,0.30000000000000004,0.6978420862999744,0.8694063182593387,0.6098306869419432
2020-01-07,-2.0745596650390374,-2.7748820876150533,0.7,0.30000000000000004,0.6666676640366044,0.8703678093754291,0.5989525108132302,-2.1489672115237086,-2.901841888450375,0.7,0.30000000000000004,0.6666676640366044,0.8703678093754291,0.613753666775487,-1.8513114175591614,-2.4281001762186416,0.7,0.30000000000000004,0.6666676640366044,0.8703678093754291,0.6095353991301019,-0.9278698204518255,-1.1898266357551592,0.7,0.30000000000000004,0.6666676640366044,0.8703678093754291,0.6095353991301019
2020-01-08,-1.9799258409187812,-2.541392559930627,0.7,0.30000000000000004,0.6459451653262113,0.8636357285752998,0.5989525108132302,-2.1169285196229177,-2.775529500988105,0.7,0.30000000000000004,0.6459451653262113,0.8636357285752998,0.613753666775487,-1.7423542900970106,-2.2220361663768204,0.7,0.30000000000000004,0.6459451653262113,0.8636357285752998,0.6091888432350087,-0.904579917418992,-1.16591991368528,0.7,0.30000000000000004,0.6459451653262113,0.8636357285752998,0.6091888432350087
2020-01-09,-2.008337961459209,-2.5683395881079885,0.7,0.30000000000000004,0.6306694358631155,0.8536292087809279,0.5989525108132302,-2.0507356671567196,-2.724018757414551,0.7,0.30000000000000004,0.6306694358631155,0.8536292087809279,0.613753666775487,-1.7696867599811714,-2.3517363973694683,0.7,0.30000000000000004,0.6306694358631155,0.8536292087809279,0.6092990554874573,-0.8733088266699115,-1.1331545625915203,0.7,0.30000000000000004,0.6306694358631155,0.8536292087809279,0.6092990554874573
2020-01-10,-2.0234448331758976,-2.6577210632753965,0.7,0.30000000000000004,0.6365353943229604,0.9031714637415542,0.5989525108132302,-2.114896647705687,-2.8347577025612307,0.7,0.30000000000000004,0.6365353943229604,0.9031714637415542,0.613753666775487,-1.7621660354125457,-2.2850443111519105,0.7,0.30000000000000004,0.6365353943229604,0.9031714637415542,0.6094840304991676,-0.8957267808696668,-1.1630945706143032,0.7,0.30000000000000004,0.6365353943229604,0.9031714637415542,0.6094840304991676
2020-01-13,-1.9196327065998984,-2.511052147806932,0.7,0.30000000000000004,0.6198166609242046,0.8706933546898551,0.5989525108132302,-2.030367831973936,-2.743682702945598,0.7,0.30000000000000004,0.6198166609242046,0.8706933546898551,0.613753666775487,-1.7180809554127339,-2.1958866196783458,0.7,0.30000000000000004,0.6198166609242046,0.8706933546898551,0.6094876386069805,-0.87445505591624,-1.1299566410657602,0.7,0.30000000000000004,0.6198166609242046,0.8706933546898551,0.6094876386069805
2020-01-14,-1.9766953517643442,-2.5640204411733696,0.7,0.30000000000000004,0.6315506029028906,0.8444095065674718,0.5989525108132302,-2.057525620632147,-2.707101054097016,0.7,0.30000000000000004,0.6315506029028906,0.8444095065674718,0.613753666775487,-1.7161566357832274,-2.2342810140155063,0.7,0.30000000000000004,0.6315506029028906,0.8444095065674718,0.6091945676761841,-0.8712112521877304,-1.131727292712504,0.7,0.30000000000000004,0.6315506029028906,0.8444095065674718,0.6091945676761841
2020-01-15,-1.9041399790254572,-2.504732804018016,0.7,0.30000000000000004,0.6058549782846449,0.8144608885636846,0.5989525108132302,-1.9542406982747955,-2.6136562252625963,0.7,0.30000000000000004,0.6058549782846449,0.8144608885636846,0.613753666775487,-1.6593317090910156,-2.1444444365580577,0.7,0.30000000000000004,0.6058549782846449,0.8144608885636846,0.609180331602616,-0.8325177379819532,-1.0992581553733471,0.7,0.30000000000000004,0.6058549782846449,0.8144608885636846,0.609180331602616
