Date,u_spx,u_dax
0,0.5190118163688515,0.3431614806530924
1,0.1273214476991021,0.07346974623575053
2,0.5813733720658583,0.5572633567482073
3,0.40346253661841847,0.506361357804752
4,0.5694185025487174,0.1758506071227492
5,0.8257452568324102,0.9593117261555621
6,0.7483579796713014,0.5694615783228895
7,0.49144677007073634,0.5347821891530418
8,0.3688376859688436,0.36858251219310323
9,0.23550756357648836,0.3827081634082024
10,0.6419227550052691,0.8038771071731508
11,0.1309075461381053,0.1442402331811362
12,0.6765221139666893,0.40676879024151613
13,0.8964843018030675,0.8487217985461171
14,0.042761746159982655,0.2857633522306139
15,0.38948331513754086,0.27877535395170405
16,0.3896247863432486,0.6937213685093246
17,0.7525383167732715,0.8273472018746425
18,0.7882074925873592,0.46502400359752255
19,0.7357540378738496,0.8290478867792509
20,0.5446478495394337,0.6852678950045611
21,0.3830224569041062,0.37780417052856563
22,0.4842493471630914,0.4678041877331439
23,0.5310796191470125,0.7326915107251872
24,0.3531016851277433,0.20533005929037768
25,0.0891341038347096,0.6992758575944331
26,0.2517165202605599,0.14825986754509307
27,0.8481890335324384,0.7051231540043548
28,0.8391196361339293,0.8527248690752451
29,0.5058667136499247,0.4385135658287024
30,0.3875304842288884,0.4436355703233409
31,0.6226960559156771,0.6445476769094161
32,0.3448650072677496,0.18725527330532055
33,0.3758708990523987,0.6874260157912087
34,0.21248393532433021,0.5964350559592235
35,0.3476993723305991,0.7128380050803782
36,0.00037919043627209436,0.0023471142665988003
37,0.6161444676490813,0.11663168109687298
38,0.404061939510712,0.19014038052262508
39,0.18972363011807916,0.3157059491470606
40,0.22818286599736887,0.19639228972117428
41,0.8481908325004668,0.7383321251617159
42,0.4016558530902623,0.581135161536851
43,0.6836029379215824,0.8579959099530825
44,0.49137486388796603,0.487029028016619
45,0.5611791934874599,0.4642375975415215
46,0.04136917442039973,0.10917893808638943
47,0.667457750307074,0.02459004622269902
48,0.5871477118554851,0.898740374446638
49,0.34148578064236657,0.45555903590165314
