Date,Gaussian_VaR_99,Gaussian_ES_99,Gaussian_Weight_SPX,Gaussian_Weight_DAX,Gaussian_Vol_SPX,Gaussian_Vol_DAX,StudentT_VaR_99,StudentT_ES_99,StudentT_Weight_SPX,StudentT_Weight_DAX,StudentT_Vol_SPX,StudentT_Vol_DAX,Gumbel_VaR_99,Gumbel_ES_99,Gumbel_Weight_SPX,Gumbel_Weight_DAX,Gumbel_Vol_SPX,Gumbel_Vol_DAX,Clayton_VaR_99,Clayton_ES_99,Clayton_Weight_SPX,Clayton_Weight_DAX,Clayton_Vol_SPX,Clayton_Vol_DAX
2020-01-02,-1.8098808961469064,-2.3359366618346793,0.55662755096396,0.44337244903604,54.55961089922914,76.68023213811007,-1.8418107216321296,-2.3377498702041604,0.55662755096396,0.44337244903604,54.55961089922914,76.68023213811007,-0.5269841953878317,-0.678825106319246,0.55662755096396,0.44337244903604,54.55961089922914,76.68023213811007,-1.5613526857692273,-1.908019868995018,0.55662755096396,0.44337244903604,54.55961089922914,76.68023213811007
2020-01-03,-1.7943245975717779,-2.275283078813667,0.5653678253671803,0.43463217463281967,52.67649228090018,79.62281203231574,-1.9026436954081,-2.4179573068791655,0.5653678253671803,0.43463217463281967,52.67649228090018,79.62281203231574,-0.5347271462647206,-0.6602139487136292,0.5653678253671803,0.43463217463281967,52.67649228090018,79.62281203231574,-1.5952920957026,-1.9019074282557762,0.5653678253671803,0.43463217463281967,52.67649228090018,79.62281203231574
2020-01-06,-2.1111250705615285,-2.631088305335754,0.5513423694138266,0.44865763058617336,64.32857357944066,86.9445720462887,-2.176243439166617,-2.7971403244864024,0.5513423694138266,0.44865763058617336,64.32857357944066,86.9445720462887,-0.6146050416369765,-0.773130500238441,0.5513423694138266,0.44865763058617336,64.32857357944066,86.9445720462887,-1.8334697628922685,-2.2210354888789454,0.5513423694138266,0.44865763058617336,64.32857357944066,86.9445720462887
2020-01-07,-2.0107819284564767,-2.528060189919476,0.5579882893114589,0.44201171068854106,61.28288309555534,87.04580376669593,-2.140141835606091,-2.711110415248548,0.5579882893114589,0.44201171068854106,61.28288309555534,87.04580376669593,-0.5978582821865513,-0.7446026473236731,0.5579882893114589,0.44201171068854106,61.28288309555534,87.04580376669593,-1.774035105969397,-2.1849393054471946,0.5579882893114589,0.44201171068854106,61.28288309555534,87.04580376669593
2020-01-08,-2.0559346894022252,-2.582045406276519,0.5574039282468943,0.44259607175310567,61.07668218644091,86.35700496358079,-2.1426443226687235,-2.7277085286875282,0.5574039282468943,0.44259607175310567,61.07668218644091,86.35700496358079,-0.6076348002814018,-0.7581070168410537,0.5574039282468943,0.44259607175310567,61.07668218644091,86.35700496358079,-1.7671415860158164,-2.156926656049828,0.5574039282468943,0.44259607175310567,61.07668218644091,86.35700496358079
2020-01-09,-1.9625818682984086,-2.4834677096488167,0.5615459926265329,0.43845400737346707,58.39830215114693,85.37884585668137,-2.049363738784974,-2.595924175879668,0.5615459926265329,0.43845400737346707,58.39830215114693,85.37884585668137,-0.5764544855574928,-0.7215073484005341,0.5615459926265329,0.43845400737346707,58.39830215114693,85.37884585668137,-1.6943036723438227,-2.0291660015657733,0.5615459926265329,0.43845400737346707,58.39830215114693,85.37884585668137
2020-01-10,-1.9660144002083413,-2.4910727335396023,0.5719428721137085,0.42805712788629147,56.00252774638712,90.32007563796792,-2.0652341923893953,-2.6349201035661514,0.5719428721137085,0.42805712788629147,56.00252774638712,90.32007563796792,-0.5842116567489839,-0.7255751105529212,0.5719428721137085,0.42805712788629147,56.00252774638712,90.32007563796792,-1.7031783277492765,-2.0273729484293646,0.5719428721137085,0.42805712788629147,56.00252774638712,90.32007563796792
2020-01-13,-1.9285147953849315,-2.427889132166978,0.5671507880342065,0.4328492119657935,56.665634741166464,87.07956240744774,-2.0143658431140157,-2.6820592587900296,0.5671507880342065,0.4328492119657935,56.665634741166464,87.07956240744774,-0.5869033526956686,-0.7261314388275066,0.5671507880342065,0.4328492119657935,56.665634741166464,87.07956240744774,-1.6880440262501348,-2.0634281511826167,0.5671507880342065,0.4328492119657935,56.665634741166464,87.07956240744774
2020-01-14,-1.89365065467423,-2.448589141520924,0.5680506122345143,0.43194938776548575,54.48017999768255,84.44509541704082,-1.9808780886300983,-2.5703536356650574,0.5680506122345143,0.43194938776548575,54.48017999768255,84.44509541704082,-0.5702650829254245,-0.7167864682337414,0.5680506122345143,0.43194938776548575,54.48017999768255,84.44509541704082,-1.6442810697900918,-2.026850311472684,0.5680506122345143,0.43194938776548575,54.48017999768255,84.44509541704082
2020-01-15,-1.8233277174771174,-2.3480061258653833,0.5659817982507658,0.4340182017492342,53.57481726819931,81.43646762163625,-1.9474550800730985,-2.588438189357283,0.5659817982507658,0.4340182017492342,53.57481726819931,81.43646762163625,-0.5315347077929348,-0.672265238126531,0.5659817982507658,0.4340182017492342,53.57481726819931,81.43646762163625,-1.6106366614039942,-1.9871807939290713,0.5659817982507658,0.4340182017492342,53.57481726819931,81.43646762163625
2020-01-16,-1.789233690729915,-2.270773621819231,0.5666175968155626,0.43338240318443744,51.68842241332778,79.03370358229863,-1.8546904453162476,-2.3485086666182315,0.5666175968155626,0.43338240318443744,51.68842241332778,79.03370358229863,-0.5157310858891728,-0.645455348305456,0.5666175968155626,0.43338240318443744,51.68842241332778,79.03370358229863,-1.5322772889495888,-1.8764295622804719,0.5666175968155626,0.43338240318443744,51.68842241332778,79.03370358229863
