Model,VaR Breaches,Kupiec p-val,Christoffersen p-val,Basel Zone,ES Z-stat,ES p-val,ES Result,Tail Ratio,Max Deviation
Gaussian,12 (Exp: 13.4),0.6935774268744882,0.09343305091232412,Green Zone,1.640844256817189,0.10082974871056516,Pass,1.3462517535733,-11.75998719207869
StudentT,11 (Exp: 13.4),0.4948086287527045,0.07608508599464969,Green Zone,1.709905914779287,0.08728327252360923,Pass,1.3573421239166021,-11.75998719207869
Gumbel,174 (Exp: 13.4),0.0,0.13312402061506268,Red Zone,5.104214524892827,3.321712929160725e-07,Reject,1.4331244512168462,-11.75998719207869
Clayton,16 (Exp: 13.4),0.490297682077828,0.18247831672184922,Green Zone,1.6156557551846982,0.10616876201234637,Pass,1.3146166663503702,-11.75998719207869
