Date,Gaussian_VaR,Gaussian_ES,Gaussian_wSPX,Gaussian_wDAX,Gaussian_volSPX,Gaussian_volDAX,StudentT_VaR,StudentT_ES,StudentT_wSPX,StudentT_wDAX,StudentT_volSPX,StudentT_volDAX,Clayton_VaR,Clayton_ES,Clayton_wSPX,Clayton_wDAX,Clayton_volSPX,Clayton_volDAX,Gumbel_VaR,Gumbel_ES,Gumbel_wSPX,Gumbel_wDAX,Gumbel_volSPX,Gumbel_volDAX
2020-01-29,-3.536738,-4.264499,0.588191,0.411809,0.876518,0.938289,-3.832191,-4.638749,0.678054,0.321946,0.876518,0.938289,-3.881638,-4.663353,0.584955,0.415045,0.876518,0.938289,-3.081268,-3.611150,0.580406,0.419594,0.876518,0.938289
2020-01-30,-3.080050,-3.720029,0.583371,0.416629,0.774517,0.825989,-3.411065,-4.170308,0.668433,0.331567,0.774517,0.825989,-3.405811,-4.200328,0.580310,0.419690,0.774517,0.825989,-2.666296,-3.129493,0.576007,0.423993,0.774517,0.825989
2020-01-31,-2.925487,-3.543694,0.700000,0.300000,0.687513,0.864089,-3.075230,-3.714255,0.700000,0.300000,0.687513,0.864089,-3.188271,-3.896642,0.700000,0.300000,0.687513,0.864089,-2.604617,-3.088714,0.700000,0.300000,0.687513,0.864089
2020-02-03,-3.653470,-4.448875,0.300000,0.700000,1.093842,0.879851,-3.993997,-4.891143,0.300000,0.700000,1.093842,0.879851,-3.999031,-4.888253,0.300000,0.700000,1.093842,0.879851,-3.183597,-3.741737,0.300000,0.700000,1.093842,0.879851
2020-02-04,-3.277918,-3.904700,0.300000,0.700000,0.958637,0.786521,-3.394844,-4.109085,0.300000,0.700000,0.958637,0.786521,-3.561926,-4.377086,0.300000,0.700000,0.958637,0.786521,-2.848532,-3.347642,0.300000,0.700000,0.958637,0.786521
2020-02-05,-3.329246,-4.023792,0.541225,0.458775,0.845676,0.872915,-3.579778,-4.327693,0.583634,0.416366,0.845676,0.872915,-3.581826,-4.412036,0.539706,0.460294,0.845676,0.872915,-2.874990,-3.355540,0.537570,0.462430,0.845676,0.872915
2020-02-06,-3.214288,-3.880003,0.700000,0.300000,0.749052,0.880411,-3.343320,-4.063789,0.700000,0.300000,0.749052,0.880411,-3.490532,-4.233274,0.697009,0.302991,0.749052,0.880411,-2.743515,-3.272043,0.686720,0.313280,0.749052,0.880411
2020-02-07,-2.755805,-3.358320,0.700000,0.300000,0.666580,0.801130,-2.962790,-3.609415,0.700000,0.300000,0.666580,0.801130,-3.023092,-3.657332,0.700000,0.300000,0.666580,0.801130,-2.514364,-2.988628,0.700000,0.300000,0.666580,0.801130
2020-02-10,-2.702454,-3.286949,0.622020,0.377980,0.663619,0.729523,-2.909127,-3.488021,0.700000,0.300000,0.663619,0.729523,-3.011847,-3.681272,0.617567,0.382433,0.663619,0.729523,-2.302456,-2.704726,0.611303,0.388697,0.663619,0.729523
2020-02-11,-2.438600,-2.905570,0.622653,0.377347,0.595092,0.654518,-2.603532,-3.147974,0.700000,0.300000,0.595092,0.654518,-2.685289,-3.275832,0.618177,0.381823,0.595092,0.654518,-2.086871,-2.449018,0.611881,0.388119,0.595092,0.654518
